season_end_year,team_bbref,coach,games_coached,team_game_first,team_game_last,stint_index,n_coaches_that_season,team
2001,ATL,Lon Kruger,82,1,82,1,1,ATL
2001,BOS,Rick Pitino,34,1,34,1,2,BOS
2001,BOS,Jim O'Brien,48,35,82,2,2,BOS
2001,CHH,Paul Silas,82,1,82,1,1,CHA
2001,CHI,Tim Floyd,82,1,82,1,1,CHI
2001,CLE,Randy Wittman,82,1,82,1,1,CLE
2001,DAL,Don Nelson,82,1,82,1,1,DAL
2001,DEN,Dan Issel,82,1,82,1,1,DEN
2001,DET,George Irvine,82,1,82,1,1,DET
2001,GSW,Dave Cowens,82,1,82,1,1,GSW
2001,HOU,Rudy Tomjanovich,82,1,82,1,1,HOU
2001,IND,Isiah Thomas,82,1,82,1,1,IND
2001,LAC,Alvin Gentry,82,1,82,1,1,LAC
2001,LAL,Phil Jackson,82,1,82,1,1,LAL
2001,MIA,Pat Riley,82,1,82,1,1,MIA
2001,MIL,George Karl,82,1,82,1,1,MIL
2001,MIN,Flip Saunders,82,1,82,1,1,MIN
2001,NJN,Byron Scott,82,1,82,1,1,NJN
2001,NYK,Jeff Van Gundy,82,1,82,1,1,NYK
2001,ORL,Doc Rivers,82,1,82,1,1,ORL
2001,PHI,Larry Brown,82,1,82,1,1,PHI
2001,PHO,Scott Skiles,82,1,82,1,1,PHX
2001,POR,Mike Dunleavy,82,1,82,1,1,POR
2001,SAC,Rick Adelman,82,1,82,1,1,SAC
2001,SAS,Gregg Popovich,82,1,82,1,1,SAS
2001,SEA,Paul Westphal,15,1,15,1,2,SEA
2001,SEA,Nate McMillan,67,16,82,2,2,SEA
2001,TOR,Lenny Wilkens,82,1,82,1,1,TOR
2001,UTA,Jerry Sloan,82,1,82,1,1,UTA
2001,VAN,Sidney Lowe,82,1,82,1,1,VAN
2001,WAS,Leonard Hamilton,82,1,82,1,1,WAS
2002,ATL,Lon Kruger,82,1,82,1,1,ATL
2002,BOS,Jim O'Brien,82,1,82,1,1,BOS
2002,CHH,Paul Silas,82,1,82,1,1,CHA
2002,CHI,Tim Floyd,25,1,25,1,3,CHI
2002,CHI,Bill Berry,2,26,27,2,3,CHI
2002,CHI,Bill Cartwright,55,28,82,3,3,CHI
2002,CLE,John Lucas,82,1,82,1,1,CLE
2002,DAL,Don Nelson,82,1,82,1,1,DAL
2002,DEN,Dan Issel,26,1,26,1,2,DEN
2002,DEN,Mike Evans,56,27,82,2,2,DEN
2002,DET,Rick Carlisle,82,1,82,1,1,DET
2002,GSW,Dave Cowens,23,1,23,1,2,GSW
2002,GSW,Brian Winters,59,24,82,2,2,GSW
2002,HOU,Rudy Tomjanovich,82,1,82,1,1,HOU
2002,IND,Isiah Thomas,82,1,82,1,1,IND
2002,LAC,Alvin Gentry,82,1,82,1,1,LAC
2002,LAL,Phil Jackson,82,1,82,1,1,LAL
2002,MEM,Sidney Lowe,82,1,82,1,1,MEM
2002,MIA,Pat Riley,82,1,82,1,1,MIA
2002,MIL,George Karl,82,1,82,1,1,MIL
2002,MIN,Flip Saunders,82,1,82,1,1,MIN
2002,NJN,Byron Scott,82,1,82,1,1,NJN
2002,NYK,Jeff Van Gundy,19,1,19,1,2,NYK
2002,NYK,Don Chaney,63,20,82,2,2,NYK
2002,ORL,Doc Rivers,82,1,82,1,1,ORL
2002,PHI,Larry Brown,82,1,82,1,1,PHI
2002,PHO,Scott Skiles,51,1,51,1,2,PHX
2002,PHO,Frank Johnson,31,52,82,2,2,PHX
2002,POR,Maurice Cheeks,82,1,82,1,1,POR
2002,SAC,Rick Adelman,82,1,82,1,1,SAC
2002,SAS,Gregg Popovich,82,1,82,1,1,SAS
2002,SEA,Nate McMillan,82,1,82,1,1,SEA
2002,TOR,Lenny Wilkens,82,1,82,1,1,TOR
2002,UTA,Jerry Sloan,82,1,82,1,1,UTA
2002,WAS,Doug Collins,82,1,82,1,1,WAS
2003,ATL,Lon Kruger,27,1,27,1,2,ATL
2003,ATL,Terry Stotts,55,28,82,2,2,ATL
2003,BOS,Jim O'Brien,82,1,82,1,1,BOS
2003,CHI,Bill Cartwright,82,1,82,1,1,CHI
2003,CLE,John Lucas,42,1,42,1,2,CLE
2003,CLE,Keith Smart,40,43,82,2,2,CLE
2003,DAL,Don Nelson,82,1,82,1,1,DAL
2003,DEN,Jeff Bzdelik,82,1,82,1,1,DEN
2003,DET,Rick Carlisle,82,1,82,1,1,DET
2003,GSW,Eric Musselman,82,1,82,1,1,GSW
2003,HOU,Rudy Tomjanovich,82,1,82,1,1,HOU
2003,IND,Isiah Thomas,82,1,82,1,1,IND
2003,LAC,Alvin Gentry,58,1,58,1,2,LAC
2003,LAC,Dennis Johnson,24,59,82,2,2,LAC
2003,LAL,Phil Jackson,82,1,82,1,1,LAL
2003,MEM,Sidney Lowe,8,1,8,1,2,MEM
2003,MEM,Hubie Brown,74,9,82,2,2,MEM
2003,MIA,Pat Riley,82,1,82,1,1,MIA
2003,MIL,George Karl,82,1,82,1,1,MIL
2003,MIN,Flip Saunders,82,1,82,1,1,MIN
2003,NJN,Byron Scott,82,1,82,1,1,NJN
2003,NOH,Paul Silas,82,1,82,1,1,NOP
2003,NYK,Don Chaney,82,1,82,1,1,NYK
2003,ORL,Doc Rivers,82,1,82,1,1,ORL
2003,PHI,Larry Brown,82,1,82,1,1,PHI
2003,PHO,Frank Johnson,82,1,82,1,1,PHX
2003,POR,Maurice Cheeks,82,1,82,1,1,POR
2003,SAC,Rick Adelman,82,1,82,1,1,SAC
2003,SAS,Gregg Popovich,82,1,82,1,1,SAS
2003,SEA,Nate McMillan,82,1,82,1,1,SEA
2003,TOR,Lenny Wilkens,82,1,82,1,1,TOR
2003,UTA,Jerry Sloan,82,1,82,1,1,UTA
2003,WAS,Doug Collins,82,1,82,1,1,WAS
2004,ATL,Terry Stotts,82,1,82,1,1,ATL
2004,BOS,Jim O'Brien,46,1,46,1,2,BOS
2004,BOS,John Carroll,36,47,82,2,2,BOS
2004,CHI,Bill Cartwright,14,1,14,1,3,CHI
2004,CHI,Pete Myers,2,15,16,2,3,CHI
2004,CHI,Scott Skiles,66,17,82,3,3,CHI
2004,CLE,Paul Silas,82,1,82,1,1,CLE
2004,DAL,Don Nelson,82,1,82,1,1,DAL
2004,DEN,Jeff Bzdelik,82,1,82,1,1,DEN
2004,DET,Larry Brown,82,1,82,1,1,DET
2004,GSW,Eric Musselman,82,1,82,1,1,GSW
2004,HOU,Jeff Van Gundy,82,1,82,1,1,HOU
2004,IND,Rick Carlisle,82,1,82,1,1,IND
