team,season_end_year,srs,mov,net_rating,off_rating,def_rating,pace,w,l,win_pct
ATL,2001,-5.55,-5.21,-5.6,98.7,104.3,91.9,25.0,57.0,0.305
BOS,2001,-2.4,-2.13,-2.3,101.4,103.7,92.6,36.0,46.0,0.439
CHA,2001,1.45,2.1,2.3,101.8,99.5,89.4,46.0,36.0,0.561
CHI,2001,-9.09,-9.1,-10.1,97.2,107.3,89.3,15.0,67.0,0.183
CLE,2001,-4.48,-4.24,-4.6,100.3,104.9,91.2,30.0,52.0,0.366
DAL,2001,4.61,4.28,4.5,107.1,102.6,93.2,53.0,29.0,0.646
DEN,2001,-1.83,-2.46,-2.6,103.7,106.3,92.6,40.0,42.0,0.488
DET,2001,-2.08,-1.7,-1.8,100.0,101.8,94.7,32.0,50.0,0.39
GSW,2001,-8.11,-9.05,-9.6,97.8,107.4,94.1,17.0,65.0,0.207
HOU,2001,2.71,2.29,2.5,106.7,104.2,90.4,45.0,37.0,0.549
IND,2001,-0.77,-0.2,-0.2,102.0,102.2,89.4,41.0,41.0,0.5
LAC,2001,-2.23,-2.89,-3.2,101.3,104.5,89.6,31.0,51.0,0.378
LAL,2001,3.74,3.38,3.6,108.4,104.8,91.7,56.0,26.0,0.683
MIA,2001,1.73,2.29,2.6,101.1,98.5,87.1,50.0,32.0,0.61
MIL,2001,3.14,3.88,4.2,108.8,104.6,92.1,52.0,30.0,0.634
MIN,2001,1.81,1.35,1.5,105.2,103.7,91.8,47.0,35.0,0.573
NJN,2001,-5.3,-5.05,-5.5,100.0,105.5,91.8,26.0,56.0,0.317
NYK,2001,1.98,2.63,3.0,101.2,98.2,86.7,48.0,34.0,0.585
ORL,2001,0.39,0.99,1.1,103.2,102.1,93.2,43.0,39.0,0.524
PHI,2001,3.64,4.28,4.7,103.6,98.9,90.6,56.0,26.0,0.683
PHX,2001,2.63,2.21,2.3,100.3,98.0,93.1,51.0,31.0,0.622
POR,2001,4.52,4.2,4.7,106.5,101.8,89.1,50.0,32.0,0.61
SAC,2001,6.07,5.82,6.0,105.6,99.6,94.4,55.0,27.0,0.671
SAS,2001,7.92,7.76,8.6,106.6,98.0,89.6,58.0,24.0,0.707
SEA,2001,0.55,0.02,0.0,105.6,105.6,91.6,44.0,38.0,0.537
TOR,2001,1.69,2.26,2.5,105.9,103.4,90.9,47.0,35.0,0.573
UTA,2001,5.0,4.7,5.2,107.6,102.4,89.8,53.0,29.0,0.646
VAN,2001,-4.94,-5.73,-6.2,99.6,105.8,91.7,23.0,59.0,0.28
WAS,2001,-6.75,-6.67,-7.2,100.6,107.8,92.7,19.0,63.0,0.232
ATL,2002,-4.41,-4.23,-4.6,101.8,106.4,91.9,33.0,49.0,0.402
BOS,2002,1.75,2.21,2.4,103.4,101.0,92.5,49.0,33.0,0.598
CHA,2002,0.57,0.96,1.0,104.3,103.3,89.7,44.0,38.0,0.537
CHI,2002,-8.52,-8.54,-9.4,98.2,107.6,90.5,21.0,61.0,0.256
CLE,2002,-3.52,-3.33,-3.6,104.6,108.2,90.3,29.0,53.0,0.354
DAL,2002,4.41,4.26,4.5,112.2,107.7,92.8,57.0,25.0,0.695
DEN,2002,-5.19,-5.82,-6.4,101.4,107.8,90.4,27.0,55.0,0.329
DET,2002,1.69,2.13,2.4,104.8,102.4,90.0,50.0,32.0,0.61
GSW,2002,-4.8,-5.4,-5.7,102.8,108.5,94.5,21.0,61.0,0.256
HOU,2002,-4.31,-4.89,-5.5,103.1,108.6,88.2,28.0,54.0,0.342
IND,2002,-0.07,0.27,0.3,104.1,103.8,91.9,42.0,40.0,0.512
LAC,2002,-0.09,-0.46,-0.5,105.5,106.0,90.1,39.0,43.0,0.476
LAL,2002,7.15,7.12,7.7,109.4,101.7,92.1,58.0,24.0,0.707
MEM,2002,-6.74,-7.44,-8.1,98.2,106.3,91.1,23.0,59.0,0.28
MIA,2002,-1.84,-1.54,-1.7,98.5,100.2,87.4,36.0,46.0,0.439
MIL,2002,-0.62,-0.22,-0.2,106.9,107.1,90.2,41.0,41.0,0.5
MIN,2002,3.58,3.38,3.7,109.0,105.3,90.5,50.0,32.0,0.61
NJN,2002,3.67,4.16,4.5,104.0,99.5,91.8,52.0,30.0,0.634
NYK,2002,-4.15,-3.99,-4.4,101.5,105.9,89.7,30.0,52.0,0.366
ORL,2002,1.25,1.57,1.7,107.0,105.3,93.2,44.0,38.0,0.537
PHI,2002,1.27,1.6,1.8,102.1,100.3,88.9,43.0,39.0,0.524
PHX,2002,-0.3,-0.68,-0.7,103.3,104.0,91.4,36.0,46.0,0.439
POR,2002,3.21,2.99,3.4,107.4,104.0,89.3,49.0,33.0,0.598
SAC,2002,7.61,7.61,7.9,109.0,101.1,95.6,61.0,21.0,0.744
SAS,2002,6.28,6.21,6.8,106.5,99.7,90.0,58.0,24.0,0.707
SEA,2002,3.24,3.02,3.3,108.9,105.6,89.0,45.0,37.0,0.549
TOR,2002,-0.71,-0.44,-0.5,102.6,103.1,88.8,42.0,40.0,0.512
UTA,2002,1.21,0.89,1.0,105.6,104.6,90.3,44.0,38.0,0.537
WAS,2002,-1.58,-1.4,-1.6,104.8,106.4,88.3,37.0,45.0,0.451
ATL,2003,-3.87,-3.56,-3.8,102.3,106.1,91.0,35.0,47.0,0.427
BOS,2003,-0.75,-0.39,-0.4,101.2,101.6,90.9,44.0,38.0,0.537
CHI,2003,-5.31,-5.13,-5.4,100.2,105.6,93.5,30.0,52.0,0.366
CLE,2003,-9.59,-9.62,-10.2,96.5,106.7,94.0,17.0,65.0,0.207
DAL,2003,7.9,7.78,8.4,110.7,102.3,92.5,60.0,22.0,0.732
DEN,2003,-7.41,-8.28,-9.1,92.2,101.3,91.0,17.0,65.0,0.207
DET,2003,2.97,3.68,4.2,104.1,99.9,86.8,50.0,32.0,0.61
GSW,2003,-0.6,-1.13,-1.2,108.3,109.5,94.2,38.0,44.0,0.463
HOU,2003,1.89,1.48,1.7,104.3,102.6,88.8,43.0,39.0,0.524
IND,2003,2.79,3.49,3.8,104.6,100.8,91.6,48.0,34.0,0.585
LAC,2003,-3.45,-4.12,-4.5,102.3,106.8,91.3,27.0,55.0,0.329
LAL,2003,2.71,2.33,2.5,107.2,104.7,92.5,50.0,32.0,0.61
MEM,2003,-2.6,-3.23,-3.4,103.9,107.3,92.7,28.0,54.0,0.342
MIA,2003,-5.13,-5.05,-5.7,96.7,102.4,87.8,25.0,57.0,0.305
MIL,2003,-0.24,0.23,0.2,108.8,108.6,90.4,42.0,40.0,0.512
MIN,2003,2.46,2.07,2.3,106.1,103.8,91.9,51.0,31.0,0.622
NJN,2003,4.42,5.22,5.7,103.8,98.1,91.6,49.0,33.0,0.598
NOP,2003,1.52,2.11,2.3,103.9,101.6,89.4,47.0,35.0,0.573
NYK,2003,-1.61,-1.35,-1.5,104.7,106.2,90.7,37.0,45.0,0.451
ORL,2003,-0.39,0.13,0.2,105.2,105.0,93.1,42.0,40.0,0.512
PHI,2003,1.76,2.3,2.5,105.0,102.5,91.4,48.0,34.0,0.585
PHX,2003,1.57,1.13,1.2,103.7,102.5,91.5,44.0,38.0,0.537
POR,2003,2.97,2.61,2.9,105.5,102.6,89.4,50.0,32.0,0.61
SAC,2003,6.68,6.5,6.8,105.9,99.1,95.4,59.0,23.0,0.72
SAS,2003,5.65,5.41,5.9,105.6,99.7,90.0,60.0,22.0,0.732
SEA,2003,0.37,-0.12,-0.2,103.7,103.9,88.0,40.0,42.0,0.488
TOR,2003,-6.1,-5.87,-6.5,100.5,107.0,89.9,24.0,58.0,0.293
UTA,2003,2.76,2.39,2.7,105.5,102.8,89.3,47.0,35.0,0.573
WAS,2003,-1.47,-1.01,-1.1,103.0,104.1,88.2,37.0,45.0,0.451
ATL,2004,-5.0,-4.65,-5.1,101.0,106.1,90.8,28.0,54.0,0.342
BOS,2004,-1.99,-1.45,-1.6,102.1,103.7,93.2,36.0,46.0,0.439
CHI,2004,-6.69,-6.35,-6.8,96.6,103.4,92.2,23.0,59.0,0.28
CLE,2004,-3.07,-2.62,-2.8,101.4,104.2,90.8,35.0,47.0,0.427
