game_id,team,event,rate,margin,min_left,season,season_end_year,won_game
20000001,NYK,1,3.2530120481927707,27.0,8.3,2000-01,2001,0
20000002,CLE,0,0.3278688524590164,11.0,33.55,2000-01,2001,1
20000002,NJN,0,5.714285714285714,10.0,1.75,2000-01,2001,0
20000003,WAS,0,11.076923076923078,12.0,1.0833333333333333,2000-01,2001,0
20000004,ATL,1,7.078651685393258,21.0,2.966666666666667,2000-01,2001,0
20000005,TOR,0,8.709677419354838,9.0,1.0333333333333334,2000-01,2001,0
20000006,CHI,0,17.419354838709676,18.0,1.0333333333333334,2000-01,2001,0
20000007,MIL,0,8.059701492537313,9.0,1.1166666666666667,2000-01,2001,0
20000008,HOU,0,6.0,7.0,1.1666666666666667,2000-01,2001,0
20000009,IND,0,13.636363636363637,15.0,1.1,2000-01,2001,0
20000010,LAC,0,15.223880597014926,17.0,1.1166666666666667,2000-01,2001,0
20000011,GSW,0,0.64,8.0,12.5,2000-01,2001,1
20000011,PHX,0,0.3222918531781558,12.0,37.23333333333333,2000-01,2001,0
20000012,POR,0,7.096774193548387,11.0,1.55,2000-01,2001,0
20000013,SEA,0,6.315789473684211,10.0,1.5833333333333333,2000-01,2001,0
20000014,DET,1,6.829268292682928,14.0,2.05,2000-01,2001,0
20000015,PHI,0,0.2745995423340961,10.0,36.41666666666666,2000-01,2001,1
20000015,TOR,0,7.0,7.0,1.0,2000-01,2001,0
20000016,ORL,0,21.639344262295083,22.0,1.0166666666666666,2000-01,2001,0
20000017,CHH,1,4.635193133047211,18.0,3.883333333333333,2000-01,2001,0
20000018,SAC,0,0.6720977596741344,11.0,16.366666666666667,2000-01,2001,0
20000019,LAL,0,2.7906976744186047,6.0,2.15,2000-01,2001,0
20000020,DEN,0,11.818181818181817,13.0,1.1,2000-01,2001,0
20000021,ATL,0,23.0,23.0,1.0,2000-01,2001,0
20000022,IND,0,5.454545454545454,7.0,1.2833333333333334,2000-01,2001,0
20000023,MIL,1,7.643312101910828,20.0,2.6166666666666667,2000-01,2001,0
20000024,MIN,0,12.78688524590164,13.0,1.0166666666666666,2000-01,2001,0
20000025,GSW,0,0.4780876494023904,6.0,12.55,2000-01,2001,0
20000025,DEN,0,0.3584764749813293,8.0,22.316666666666663,2000-01,2001,1
20000026,POR,1,9.29032258064516,24.0,2.583333333333333,2000-01,2001,0
20000027,LAC,0,5.3731343283582085,6.0,1.1166666666666667,2000-01,2001,0
