game_id,season,team,n_subs_logged,n_periods_with_subs,log_complete,season_end_year
20000001,2000-01,NYK,17,4,True,2001
20000001,2000-01,PHI,20,4,True,2001
20000002,2000-01,CLE,24,4,True,2001
20000002,2000-01,NJN,21,4,True,2001
20000003,2000-01,ORL,18,4,True,2001
20000003,2000-01,WAS,28,4,True,2001
20000004,2000-01,ATL,27,4,True,2001
20000004,2000-01,CHH,17,4,True,2001
20000005,2000-01,DET,30,4,True,2001
20000005,2000-01,TOR,18,4,True,2001
20000006,2000-01,CHI,20,4,True,2001
20000006,2000-01,SAC,13,4,False,2001
20000007,2000-01,DAL,24,4,True,2001
20000007,2000-01,MIL,20,4,True,2001
20000008,2000-01,HOU,13,3,False,2001
20000008,2000-01,MIN,17,4,True,2001
20000009,2000-01,IND,23,4,True,2001
20000009,2000-01,SAS,28,4,True,2001
20000010,2000-01,LAC,23,4,True,2001
20000010,2000-01,UTA,22,4,True,2001
20000011,2000-01,GSW,22,4,True,2001
20000011,2000-01,PHX,18,4,True,2001
20000012,2000-01,LAL,13,4,False,2001
20000012,2000-01,POR,21,4,True,2001
20000013,2000-01,SEA,17,4,True,2001
20000013,2000-01,VAN,13,4,False,2001
20000014,2000-01,BOS,37,4,True,2001
20000014,2000-01,DET,33,4,True,2001
20000015,2000-01,PHI,28,4,True,2001
20000015,2000-01,TOR,16,4,True,2001
20000016,2000-01,MIA,17,4,True,2001
20000016,2000-01,ORL,18,4,True,2001
20000017,2000-01,CHH,19,4,True,2001
20000017,2000-01,WAS,28,4,True,2001
20000018,2000-01,CLE,23,6,True,2001
20000018,2000-01,SAC,17,5,True,2001
20000019,2000-01,LAL,21,4,True,2001
20000019,2000-01,UTA,20,4,True,2001
20000020,2000-01,DEN,24,4,True,2001
20000020,2000-01,SEA,23,4,True,2001
20000021,2000-01,ATL,19,4,True,2001
20000021,2000-01,NYK,17,4,True,2001
20000022,2000-01,DAL,15,4,True,2001
20000022,2000-01,IND,22,4,True,2001
20000023,2000-01,HOU,17,4,True,2001
20000023,2000-01,MIL,20,4,True,2001
20000024,2000-01,MIN,26,4,True,2001
20000024,2000-01,SAS,25,4,True,2001
20000025,2000-01,DEN,21,4,True,2001
20000025,2000-01,GSW,22,4,True,2001
20000026,2000-01,PHX,20,4,True,2001
20000026,2000-01,POR,20,4,True,2001
20000027,2000-01,LAC,19,4,True,2001
20000027,2000-01,VAN,20,4,True,2001
20000028,2000-01,BOS,28,4,True,2001
20000028,2000-01,TOR,16,4,True,2001
20000029,2000-01,NYK,15,4,True,2001
20000029,2000-01,WAS,18,4,True,2001
20000030,2000-01,ORL,29,4,True,2001
20000030,2000-01,PHI,32,4,True,2001
20000031,2000-01,CHH,14,4,False,2001
20000031,2000-01,MIA,19,4,True,2001
20000032,2000-01,DET,26,4,True,2001
20000032,2000-01,SAC,17,4,True,2001
20000033,2000-01,CHI,21,4,True,2001
20000033,2000-01,NJN,21,4,True,2001
20000034,2000-01,CHH,16,4,True,2001
20000034,2000-01,NJN,16,4,True,2001
20000035,2000-01,MIA,14,4,False,2001
20000035,2000-01,PHI,17,4,True,2001
20000036,2000-01,ATL,15,4,True,2001
20000036,2000-01,ORL,20,4,True,2001
20000037,2000-01,TOR,17,4,True,2001
20000037,2000-01,WAS,27,4,True,2001
20000038,2000-01,BOS,25,4,True,2001
20000038,2000-01,CLE,21,4,True,2001
20000039,2000-01,CHI,18,4,True,2001
20000039,2000-01,IND,23,4,True,2001
20000040,2000-01,DET,21,4,True,2001
20000040,2000-01,MIL,23,4,True,2001
20000041,2000-01,MIN,21,4,True,2001
20000041,2000-01,SAC,17,4,True,2001
20000042,2000-01,DAL,24,4,True,2001
20000042,2000-01,UTA,18,4,True,2001
20000043,2000-01,DEN,22,4,True,2001
20000043,2000-01,PHX,18,4,True,2001
20000044,2000-01,HOU,17,4,True,2001
20000044,2000-01,LAC,20,4,True,2001
20000045,2000-01,GSW,19,4,True,2001
20000045,2000-01,SAS,25,4,True,2001
20000046,2000-01,POR,24,4,True,2001
20000046,2000-01,SEA,16,4,True,2001
20000047,2000-01,LAL,14,4,False,2001
20000047,2000-01,VAN,17,4,True,2001
20000048,2000-01,HOU,16,4,True,2001
20000048,2000-01,PHX,18,4,True,2001
20000049,2000-01,LAC,27,4,True,2001
20000049,2000-01,LAL,18,3,False,2001
20000050,2000-01,ORL,15,4,True,2001
20000050,2000-01,SEA,19,4,True,2001
20000051,2000-01,DAL,20,4,True,2001
20000051,2000-01,DEN,21,4,True,2001
20000052,2000-01,MIN,16,4,True,2001
20000052,2000-01,UTA,17,4,True,2001
20000053,2000-01,POR,12,4,False,2001
20000053,2000-01,SAC,9,3,False,2001
20000054,2000-01,ATL,24,4,True,2001
20000054,2000-01,VAN,20,4,True,2001
20000055,2000-01,BOS,29,4,True,2001
20000055,2000-01,TOR,16,4,True,2001
20000056,2000-01,CHI,24,4,True,2001
20000056,2000-01,WAS,28,4,True,2001
20000057,2000-01,MIL,16,4,True,2001
20000057,2000-01,NYK,16,4,True,2001
20000058,2000-01,HOU,13,3,False,2001
20000058,2000-01,LAL,9,3,False,2001
20000059,2000-01,PHX,20,4,True,2001
20000059,2000-01,SAS,28,4,True,2001
20000060,2000-01,ATL,20,4,True,2001
20000060,2000-01,POR,19,4,True,2001
20000061,2000-01,CLE,16,4,True,2001
20000061,2000-01,NYK,16,4,True,2001
20000062,2000-01,DET,20,4,True,2001
20000062,2000-01,PHI,25,4,True,2001
20000063,2000-01,NJN,15,4,True,2001
20000063,2000-01,WAS,25,4,True,2001
20000064,2000-01,CHH,14,3,False,2001
20000064,2000-01,ORL,25,4,True,2001
20000065,2000-01,MIA,20,4,True,2001
20000065,2000-01,SEA,16,4,True,2001
20000066,2000-01,IND,21,4,True,2001
20000066,2000-01,MIL,16,4,True,2001
20000067,2000-01,DAL,21,4,True,2001
20000067,2000-01,VAN,21,4,True,2001
20000068,2000-01,LAL,14,4,False,2001
20000068,2000-01,SAS,21,4,True,2001
20000069,2000-01,DEN,22,5,True,2001
20000069,2000-01,MIN,14,5,False,2001
20000070,2000-01,LAC,26,5,True,2001
20000070,2000-01,UTA,16,5,True,2001
20000071,2000-01,GSW,13,4,False,2001
20000071,2000-01,SAC,12,3,False,2001
20000072,2000-01,DET,28,4,True,2001
20000072,2000-01,NJN,14,4,False,2001
20000073,2000-01,CHH,19,4,True,2001
20000073,2000-01,SEA,16,4,True,2001
20000074,2000-01,CHI,22,4,True,2001
20000074,2000-01,ORL,19,4,True,2001
20000075,2000-01,MIN,23,4,True,2001
20000075,2000-01,PHI,25,4,True,2001
20000076,2000-01,HOU,11,4,False,2001
20000076,2000-01,VAN,18,4,True,2001
20000077,2000-01,ATL,21,4,True,2001
20000077,2000-01,PHX,18,4,True,2001
20000078,2000-01,DEN,20,4,True,2001
20000078,2000-01,POR,12,4,False,2001
20000079,2000-01,BOS,26,5,True,2001
20000079,2000-01,NYK,22,4,True,2001
20000080,2000-01,IND,24,4,True,2001
20000080,2000-01,WAS,23,4,True,2001
20000081,2000-01,CLE,21,4,True,2001
20000081,2000-01,TOR,13,4,False,2001
20000082,2000-01,DAL,20,4,True,2001
20000082,2000-01,SAS,22,4,True,2001
20000083,2000-01,MIA,14,4,False,2001
20000083,2000-01,UTA,12,4,False,2001
20000084,2000-01,ATL,15,4,True,2001
20000084,2000-01,LAC,20,4,True,2001
20000085,2000-01,GSW,24,5,True,2001
20000085,2000-01,SAC,22,5,True,2001
20000086,2000-01,CHH,13,4,False,2001
20000086,2000-01,NYK,23,4,True,2001
20000087,2000-01,NJN,16,4,True,2001
20000087,2000-01,SEA,17,4,True,2001
20000088,2000-01,BOS,23,4,True,2001
20000088,2000-01,PHI,21,4,True,2001
20000089,2000-01,CLE,23,4,True,2001
20000089,2000-01,WAS,17,4,True,2001
20000090,2000-01,DET,28,4,True,2001
20000090,2000-01,IND,24,4,True,2001
20000091,2000-01,CHI,15,4,True,2001
20000091,2000-01,TOR,11,3,False,2001
20000092,2000-01,MIL,20,4,True,2001
20000092,2000-01,MIN,17,4,True,2001
20000093,2000-01,SAS,21,4,True,2001
20000093,2000-01,VAN,25,4,True,2001
20000094,2000-01,MIA,18,4,True,2001
20000094,2000-01,PHX,18,4,True,2001
20000095,2000-01,HOU,14,3,False,2001
20000095,2000-01,POR,12,3,False,2001
20000096,2000-01,DET,22,4,True,2001
20000096,2000-01,SEA,17,4,True,2001
20000097,2000-01,DEN,21,4,True,2001
20000097,2000-01,LAC,28,4,True,2001
20000098,2000-01,HOU,14,4,False,2001
20000098,2000-01,LAL,21,4,True,2001
20000099,2000-01,GSW,23,5,True,2001
20000099,2000-01,ORL,26,5,True,2001
20000100,2000-01,DAL,21,4,True,2001
20000100,2000-01,SAC,14,3,False,2001
20000101,2000-01,NJN,18,4,True,2001
20000101,2000-01,POR,18,4,True,2001
20000102,2000-01,DAL,14,4,False,2001
20000102,2000-01,LAC,23,4,True,2001
20000103,2000-01,CHH,22,4,True,2001
20000103,2000-01,MIA,18,4,True,2001
20000104,2000-01,ATL,8,3,False,2001
20000104,2000-01,POR,23,4,True,2001
20000105,2000-01,CLE,19,4,True,2001
20000105,2000-01,GSW,16,4,True,2001
20000106,2000-01,CHI,24,4,True,2001
20000106,2000-01,HOU,15,4,True,2001
20000107,2000-01,SAS,21,4,True,2001
20000107,2000-01,UTA,19,4,True,2001
20000108,2000-01,DEN,16,4,True,2001
20000108,2000-01,LAL,18,4,True,2001
20000109,2000-01,ORL,24,4,True,2001
20000109,2000-01,SAC,10,4,False,2001
20000110,2000-01,NYK,18,4,True,2001
20000110,2000-01,SEA,20,4,True,2001
20000111,2000-01,BOS,23,4,True,2001
20000111,2000-01,WAS,18,4,True,2001
20000112,2000-01,MIA,20,4,True,2001
20000112,2000-01,NJN,21,4,True,2001
20000113,2000-01,CLE,23,4,True,2001
20000113,2000-01,PHI,24,4,True,2001
20000114,2000-01,DET,32,4,True,2001
20000114,2000-01,IND,23,4,True,2001
20000115,2000-01,ATL,17,4,True,2001
20000115,2000-01,MIL,17,4,True,2001
20000116,2000-01,GSW,15,4,True,2001
20000116,2000-01,MIN,18,4,True,2001
20000117,2000-01,DAL,24,4,True,2001
20000117,2000-01,PHX,18,4,True,2001
20000118,2000-01,LAC,20,4,True,2001
20000118,2000-01,NYK,19,4,True,2001
20000119,2000-01,SAS,17,4,True,2001
20000119,2000-01,WAS,15,4,True,2001
20000120,2000-01,POR,16,4,True,2001
20000120,2000-01,TOR,14,4,False,2001
20000121,2000-01,CHH,13,4,False,2001
20000121,2000-01,HOU,11,4,False,2001
20000122,2000-01,CHI,23,4,True,2001
20000122,2000-01,DEN,22,4,True,2001
20000123,2000-01,ORL,21,4,True,2001
20000123,2000-01,UTA,18,4,True,2001
20000124,2000-01,LAL,14,3,False,2001
20000124,2000-01,SAC,19,5,True,2001
20000125,2000-01,LAC,21,4,True,2001
20000125,2000-01,VAN,17,4,True,2001
20000126,2000-01,ATL,27,4,True,2001
20000126,2000-01,BOS,22,4,True,2001
20000127,2000-01,MIA,11,3,False,2001
20000127,2000-01,PHI,22,3,False,2001
20000128,2000-01,CHH,21,4,True,2001
20000128,2000-01,DET,23,4,True,2001
20000129,2000-01,GSW,21,4,True,2001
20000129,2000-01,IND,19,4,True,2001
20000130,2000-01,CLE,19,4,True,2001
20000130,2000-01,MIL,19,4,True,2001
20000131,2000-01,MIN,26,5,True,2001
20000131,2000-01,SAS,20,5,True,2001
20000132,2000-01,NYK,22,4,True,2001
20000132,2000-01,PHX,20,4,True,2001
20000133,2000-01,DAL,21,4,True,2001
20000133,2000-01,SEA,20,4,True,2001
20000134,2000-01,IND,20,4,True,2001
20000134,2000-01,NJN,9,3,False,2001
20000135,2000-01,BOS,23,4,True,2001
20000135,2000-01,WAS,25,4,True,2001
20000136,2000-01,MIA,17,4,True,2001
20000136,2000-01,POR,18,4,True,2001
20000137,2000-01,ATL,15,4,True,2001
20000137,2000-01,MIN,24,4,True,2001
20000138,2000-01,MIL,21,4,True,2001
20000138,2000-01,TOR,10,3,False,2001
20000139,2000-01,HOU,13,4,False,2001
20000139,2000-01,PHX,19,4,True,2001
20000140,2000-01,DEN,14,4,False,2001
20000140,2000-01,LAL,19,4,True,2001
20000141,2000-01,CHI,20,3,False,2001
20000141,2000-01,UTA,13,4,False,2001
20000142,2000-01,LAC,22,4,True,2001
20000142,2000-01,SEA,20,4,True,2001
20000143,2000-01,DAL,16,4,True,2001
20000143,2000-01,VAN,15,4,True,2001
20000144,2000-01,GSW,21,4,True,2001
20000144,2000-01,NYK,18,4,True,2001
20000145,2000-01,ORL,20,5,True,2001
20000145,2000-01,POR,18,4,True,2001
20000146,2000-01,CHH,15,4,True,2001
20000146,2000-01,DET,31,4,True,2001
20000147,2000-01,CHI,16,4,True,2001
20000147,2000-01,LAL,13,4,False,2001
20000148,2000-01,BOS,27,4,True,2001
20000148,2000-01,PHI,30,4,True,2001
20000149,2000-01,CHH,18,4,True,2001
20000149,2000-01,TOR,15,4,True,2001
20000150,2000-01,DAL,16,4,True,2001
20000150,2000-01,UTA,14,4,False,2001
20000151,2000-01,LAC,19,4,True,2001
20000151,2000-01,NJN,9,3,False,2001
20000152,2000-01,DEN,20,4,True,2001
20000152,2000-01,VAN,25,4,True,2001
20000153,2000-01,POR,13,4,False,2001
20000153,2000-01,WAS,26,4,True,2001
20000154,2000-01,NYK,19,4,True,2001
20000154,2000-01,ORL,20,4,True,2001
20000155,2000-01,CLE,15,4,True,2001
20000155,2000-01,DET,27,4,True,2001
20000156,2000-01,HOU,8,4,False,2001
20000156,2000-01,IND,19,4,True,2001
20000157,2000-01,DAL,20,4,True,2001
20000157,2000-01,SEA,26,4,True,2001
20000158,2000-01,CHI,15,4,True,2001
20000158,2000-01,GSW,20,4,True,2001
20000159,2000-01,BOS,23,4,True,2001
20000159,2000-01,HOU,16,4,True,2001
20000160,2000-01,CLE,15,4,True,2001
20000160,2000-01,MIA,18,4,True,2001
20000161,2000-01,CHH,22,4,True,2001
20000161,2000-01,PHI,30,4,True,2001
20000162,2000-01,ATL,21,4,True,2001
20000162,2000-01,NYK,23,4,True,2001
20000163,2000-01,MIL,16,4,True,2001
20000163,2000-01,POR,16,4,True,2001
20000164,2000-01,MIN,20,4,True,2001
20000164,2000-01,VAN,17,4,True,2001
20000165,2000-01,SAS,15,4,True,2001
20000165,2000-01,SEA,14,4,False,2001
20000166,2000-01,DEN,20,4,True,2001
20000166,2000-01,UTA,13,4,False,2001
20000167,2000-01,NJN,11,4,False,2001
20000167,2000-01,PHX,14,4,False,2001
20000168,2000-01,GSW,21,4,True,2001
20000168,2000-01,LAL,13,4,False,2001
20000169,2000-01,CHI,23,4,True,2001
20000169,2000-01,SAC,14,4,False,2001
20000170,2000-01,IND,17,4,True,2001
20000170,2000-01,TOR,10,4,False,2001
20000171,2000-01,BOS,28,5,True,2001
20000171,2000-01,ORL,28,5,True,2001
20000172,2000-01,ATL,18,4,True,2001
20000172,2000-01,PHI,23,4,True,2001
20000173,2000-01,CLE,20,4,True,2001
20000173,2000-01,MIA,17,4,True,2001
20000174,2000-01,DET,31,4,True,2001
20000174,2000-01,VAN,20,4,True,2001
20000175,2000-01,IND,22,4,True,2001
20000175,2000-01,WAS,25,4,True,2001
20000176,2000-01,CHH,14,4,False,2001
20000176,2000-01,MIL,21,4,True,2001
20000177,2000-01,DEN,27,4,True,2001
20000177,2000-01,SAS,22,4,True,2001
20000178,2000-01,NJN,18,4,True,2001
20000178,2000-01,UTA,17,4,True,2001
20000179,2000-01,GSW,23,4,True,2001
20000179,2000-01,PHX,18,4,True,2001
20000180,2000-01,LAL,11,4,False,2001
20000180,2000-01,MIN,18,4,True,2001
20000181,2000-01,LAC,17,4,True,2001
20000181,2000-01,SEA,14,4,False,2001
20000182,2000-01,NYK,17,4,True,2001
20000182,2000-01,TOR,12,3,False,2001
20000183,2000-01,MIL,20,4,True,2001
20000183,2000-01,WAS,16,3,False,2001
20000184,2000-01,ATL,18,4,True,2001
20000184,2000-01,ORL,25,4,True,2001
20000185,2000-01,HOU,17,4,True,2001
20000185,2000-01,MIA,10,4,False,2001
20000186,2000-01,CHH,11,4,False,2001
20000186,2000-01,CLE,16,4,True,2001
20000187,2000-01,DAL,13,4,False,2001
20000187,2000-01,DEN,19,4,True,2001
20000188,2000-01,PHI,23,4,True,2001
20000188,2000-01,SAS,19,4,True,2001
20000189,2000-01,LAC,12,4,False,2001
20000189,2000-01,PHX,15,4,True,2001
20000190,2000-01,GSW,16,4,True,2001
20000190,2000-01,MIN,27,4,True,2001
20000191,2000-01,SAC,14,4,False,2001
20000191,2000-01,SEA,20,4,True,2001
20000192,2000-01,NJN,13,4,False,2001
20000192,2000-01,POR,18,4,True,2001
20000193,2000-01,BOS,19,4,True,2001
20000193,2000-01,VAN,14,4,False,2001
20000194,2000-01,CHI,22,4,True,2001
20000194,2000-01,TOR,11,4,False,2001
20000195,2000-01,DET,34,4,True,2001
20000195,2000-01,UTA,14,4,False,2001
20000196,2000-01,NYK,17,4,True,2001
20000196,2000-01,VAN,18,4,True,2001
20000197,2000-01,MIL,21,4,True,2001
20000197,2000-01,ORL,21,4,True,2001
20000198,2000-01,LAC,23,4,True,2001
20000198,2000-01,LAL,11,4,False,2001
20000199,2000-01,NJN,13,4,False,2001
20000199,2000-01,UTA,15,4,True,2001
20000200,2000-01,ATL,21,4,True,2001
20000200,2000-01,WAS,25,4,True,2001
20000201,2000-01,MIA,18,4,True,2001
20000201,2000-01,MIL,20,4,True,2001
20000202,2000-01,BOS,19,4,True,2001
20000202,2000-01,CLE,18,4,True,2001
20000203,2000-01,CHI,17,4,True,2001
20000203,2000-01,MIN,17,4,True,2001
20000204,2000-01,DAL,16,4,True,2001
20000204,2000-01,TOR,12,4,False,2001
20000205,2000-01,HOU,13,3,False,2001
20000205,2000-01,SAC,14,4,False,2001
20000206,2000-01,IND,18,4,True,2001
20000206,2000-01,LAL,17,4,True,2001
